Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
14,Average Backcourt MVP - Past 30 Years,37.1214285714,9.40952380952,19.4333333333,0.487864718529,1.34761904762,3.75238095238,0.302456784367,0.524528281594,6.05238095238,7.11904761905,0.858561929596,5.79047619048,7.68095238095,2.03333333333,26.219047619,0.586616006176,35.939047619,13.8828571429,30.2880952381,117.619047619,100.361904762
15,Average Backcourt MVP - Past 30 Years,37.0108148148,9.46666666667,19.4,0.491672663996,1.34222222222,3.75111111111,0.304321204597,0.528415515677,6.02666666667,7.13333333333,0.854073182141,5.80888888889,7.65777777778,2.02666666667,26.3022222222,0.589442854295,35.8573333333,13.7977777778,30.2911111111,118.084444444,100.497777778
16,Average Backcourt MVP - Past 30 Years,36.9413194444,9.40833333333,19.3041666667,0.491023843697,1.32916666667,3.74583333333,0.311458665258,0.527433748431,6.025,7.125,0.855253059387,5.7625,7.67916666667,2.00416666667,26.1708333333,0.589035825791,36.0108333333,13.61625,30.19125,118.383333333,100.575
17,Average Backcourt MVP - Past 30 Years,36.9930065359,9.41960784314,19.3333333333,0.491133064444,1.35294117647,3.77647058824,0.31319576938,0.527833901211,6.05490196078,7.1568627451,0.855263850762,5.82352941176,7.77647058824,1.97254901961,26.2470588235,0.58966832004,36.1556862745,13.7078431373,30.1623529412,118.505882353,100.792156863
18,Average Backcourt MVP - Past 30 Years,37.0218518519,9.38888888889,19.3333333333,0.489289755214,1.33703703704,3.72962962963,0.309130611511,0.526042717761,6.03333333333,7.12592592593,0.85623068674,5.87037037037,7.82592592593,1.98888888889,26.1481481481,0.587918701526,36.2137037037,13.6777777778,30.14,118.459259259,100.674074074
19,Average Backcourt MVP - Past 30 Years,37.0466666667,9.34736842105,19.3263157895,0.486669706614,1.32280701754,3.70175438596,0.305034167745,0.523002667323,6.01754385965,7.11929824561,0.854762369419,5.90175438596,7.77894736842,1.97894736842,26.0350877193,0.585168185759,35.9684210526,13.6989473684,30.1705263158,118.052631579,101.007017544
20,Average Backcourt MVP - Past 30 Years,37.0692777778,9.36666666667,19.3833333333,0.486104574904,1.33333333333,3.71666666667,0.305820406516,0.522622636828,6.00333333333,7.09333333333,0.855282386357,5.85,7.79666666667,1.96333333333,26.07,0.584338315433,36.0136666667,13.7426666667,30.263,117.783333333,101.11
21,Average Backcourt MVP - Past 30 Years,37.0924338624,9.34603174603,19.3650793651,0.485377897338,1.35238095238,3.71111111111,0.311276411563,0.522384207373,6.0,7.10158730159,0.853251125432,5.91428571429,7.76507936508,1.94285714286,26.0444444444,0.583863764071,35.9098412698,13.7419047619,30.2053968254,117.784126984,100.996825397
22,Average Backcourt MVP - Past 30 Years,37.0399494949,9.3303030303,19.3818181818,0.4837248532,1.33636363636,3.71515151515,0.305074409476,0.52018840101,6.0,7.11818181818,0.850999876412,5.88484848485,7.76060606061,1.9696969697,25.996969697,0.58171747285,35.9257575758,13.5903030303,30.2403030303,117.636363636,100.86969697
23,Average Backcourt MVP - Past 30 Years,37.0240096618,9.32173913043,19.3507246377,0.48441102347,1.32753623188,3.70144927536,0.303565678082,0.520757354644,6.02898550725,7.12463768116,0.854494926514,5.89565217391,7.72173913043,1.9652173913,26.0,0.582836078051,35.7562318841,13.6202898551,30.2104347826,117.794202899,101.144927536
24,Average Backcourt MVP - Past 30 Years,37.1079166667,9.34722222222,19.4,0.484064966616,1.32777777778,3.71388888889,0.304322265268,0.520114822052,6.025,7.11388888889,0.856000847352,5.95,7.70833333333,1.98611111111,26.0472222222,0.582065751019,35.6563888889,13.6055555556,30.2166666667,117.744444444,101.219444444
