Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
28,Average Frontcourt MVP - Past 30 Years,38.265515873,9.46428571429,18.3857142857,0.514230941483,0.590476190476,1.64523809524,0.201587568842,0.530254360765,6.4119047619,8.62857142857,0.746449323706,10.5952380952,4.75,1.27142857143,25.930952381,0.584575655814,24.0102380952,12.1719047619,30.2873809524,116.30952381,97.4595238095
29,Average Frontcourt MVP - Past 30 Years,38.3457088123,9.47816091954,18.4252873563,0.513789128968,0.590804597701,1.66206896552,0.243785126811,0.529741520038,6.4183908046,8.61609195402,0.748311612279,10.6068965517,4.76551724138,1.26896551724,25.9655172414,0.584358708763,24.04,12.2301149425,30.2903448276,116.255172414,97.5425287356
30,Average Frontcourt MVP - Past 30 Years,38.3645185185,9.52,18.4777777778,0.514351247515,0.595555555556,1.67111111111,0.252275691109,0.53039157723,6.38666666667,8.58444444444,0.747153493424,10.6044444444,4.80222222222,1.26666666667,26.0222222222,0.584562864518,24.2315555556,12.2368888889,30.3137777778,116.233333333,97.5377777778
31,Average Frontcourt MVP - Past 30 Years,38.3541577061,9.56559139785,18.5440860215,0.515028051648,0.6,1.69677419355,0.240274754178,0.531150498125,6.42580645161,8.64516129032,0.746132582311,10.6516129032,4.76129032258,1.2688172043,26.1569892473,0.585131036985,24.0694623656,12.2217204301,30.4539784946,116.277419355,97.5698924731
32,Average Frontcourt MVP - Past 30 Years,38.3301041667,9.54166666667,18.5145833333,0.514687684775,0.608333333333,1.7,0.256928468909,0.531080880401,6.40833333333,8.60833333333,0.748469299209,10.6208333333,4.77083333333,1.2625,26.1,0.585225407774,24.0829166667,12.2558333333,30.3902083333,116.341666667,97.68125
33,Average Frontcourt MVP - Past 30 Years,38.4311784512,9.6,18.595959596,0.515700381903,0.614141414141,1.71313131313,0.251202925061,0.532171457537,6.41818181818,8.58787878788,0.750619698495,10.6141414141,4.8101010101,1.27474747475,26.2323232323,0.58634616523,24.3157575758,12.3181818182,30.4397979798,116.466666667,97.7898989899
34,Average Frontcourt MVP - Past 30 Years,38.4175816993,9.63921568627,18.6607843137,0.515896098489,0.613725490196,1.70980392157,0.249948994582,0.532347325425,6.41764705882,8.56666666667,0.752070287444,10.6431372549,4.82156862745,1.29019607843,26.3098039216,0.586550091966,24.3582352941,12.2766666667,30.5023529412,116.549019608,97.8
35,Average Frontcourt MVP - Past 30 Years,38.4721269841,9.65714285714,18.68,0.516404201083,0.615238095238,1.73142857143,0.244333720952,0.532830364409,6.45523809524,8.60380952381,0.752303336661,10.5980952381,4.81523809524,1.30095238095,26.3847619048,0.587243866355,24.3847619048,12.2283809524,30.5041904762,116.716190476,97.8780952381
36,Average Frontcourt MVP - Past 30 Years,38.5374691358,9.66296296296,18.7203703704,0.515573630654,0.612962962963,1.73888888889,0.242534614886,0.531953725656,6.42777777778,8.56851851852,0.751628230213,10.587037037,4.81666666667,1.32037037037,26.3666666667,0.58625133061,24.3903703704,12.2042592593,30.4944444444,116.642592593,98.0166666667
37,Average Frontcourt MVP - Past 30 Years,38.5345945946,9.65585585586,18.7279279279,0.515048807345,0.610810810811,1.74054054054,0.242038030651,0.531372423635,6.44864864865,8.6018018018,0.750575479894,10.5747747748,4.81441441441,1.3045045045,26.3711711712,0.585833589912,24.427027027,12.181981982,30.5142342342,116.686486486,98.0594594595
