Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
17,Average MVP,37.6961764706,9.40980392157,18.8470588235,0.501195342881,0.956862745098,2.70196078431,0.247549334603,0.527170037122,6.28039215686,7.98039215686,0.798739384053,8.27058823529,6.26274509804,26.0568627451,0.585488348543,30.1715686275,12.8556862745,30.1139215686,117.305882353,99.3882352941
18,Average MVP,37.6538271605,9.36111111111,18.7796296296,0.50029567583,0.940740740741,2.67037037037,0.24304236819,0.526103894996,6.24814814815,7.92037037037,0.7999099137,8.2537037037,6.28518518519,25.9111111111,0.584660100274,30.1516666667,12.825,30.0414814815,117.277777778,99.1444444444
19,Average MVP,37.6566666667,9.35614035088,18.798245614,0.499364621606,0.940350877193,2.65087719298,0.250831965094,0.525152838709,6.26315789474,7.94912280702,0.798898184003,8.28596491228,6.2649122807,25.9157894737,0.58385627104,30.0410526316,12.7870175439,30.1266666667,117.226315789,99.3578947368
20,Average MVP,37.6898333333,9.36833333333,18.8183333333,0.499424537381,0.943333333333,2.65,0.251385188652,0.525257646606,6.25833333333,7.94,0.799498910685,8.25833333333,6.28333333333,25.9383333333,0.583758089411,30.0865,12.9175,30.1718333333,117.035,99.2933333333
21,Average MVP,37.6439417989,9.36825396825,18.8079365079,0.499656276487,0.95873015873,2.6619047619,0.254390889407,0.525854270711,6.2619047619,7.93492063492,0.799592891966,8.29682539683,6.23015873016,25.9571428571,0.584282658052,29.890952381,12.9338095238,30.1817460317,117.142857143,99.2174603175
22,Average MVP,37.5938383838,9.34242424242,18.7863636364,0.498685925416,0.95303030303,2.66515151515,0.251320741406,0.524715819188,6.23787878788,7.90757575758,0.79836804611,8.3,6.23636363636,25.8757575758,0.583142014346,29.9163636364,12.8646969697,30.1542424242,117.140909091,99.0757575758
23,Average MVP,37.5980917874,9.33333333333,18.7623188406,0.499008833314,0.946376811594,2.65217391304,0.250327150299,0.524910565042,6.26376811594,7.91739130435,0.800900441329,8.29275362319,6.22608695652,25.8768115942,0.583844915289,29.8734782609,12.8991304348,30.1463768116,117.207246377,99.1913043478
24,Average MVP,37.6587037037,9.3625,18.8263888889,0.498677468244,0.951388888889,2.6625,0.251481509501,0.524519560464,6.24166666667,7.89722222222,0.800532915935,8.2875,6.21527777778,25.9180555556,0.58300704796,29.7854166667,12.8981944444,30.17,117.063888889,99.1694444444
25,Average MVP,37.7074888889,9.36533333333,18.8453333333,0.498552661906,0.949333333333,2.66933333333,0.251216086104,0.524324081359,6.236,7.908,0.799265284239,8.30266666667,6.23066666667,25.916,0.582624350241,29.7733333333,12.7777333333,30.1504,117.185333333,99.332
26,Average MVP,37.7118589744,9.34487179487,18.858974359,0.497194440488,0.939743589744,2.66025641026,0.249857785264,0.522770127207,6.24358974359,7.91538461538,0.799871930259,8.28205128205,6.23461538462,25.8730769231,0.581470162393,29.8167948718,12.8007692308,30.1953846154,116.944871795,99.4756410256
27,Average MVP,37.74781893,9.36419753086,18.8703703704,0.498035284897,0.944444444444,2.66296296296,0.252217760313,0.523849742093,6.24444444444,7.91975308642,0.799266493204,8.27654320988,6.25185185185,25.9172839506,0.582315376411,29.8433333333,12.8732098765,30.2139506173,116.990123457,99.5691358025
28,Average MVP,37.7591666667,9.4130952381,18.9273809524,0.498935902661,0.936904761905,2.64880952381,0.252993031605,0.524516279192,6.25238095238,7.91428571429,0.800155211715,8.30476190476,6.24642857143,26.0154761905,0.583034753536,29.8154761905,12.9172619048,30.285,116.972619048,99.5988095238
29,Average MVP,37.7989272031,9.43103448276,18.9540229885,0.498950208455,0.937931034483,2.65632183908,0.273195720952,0.524554799671,6.27126436782,7.92068965517,0.801687406104,8.32298850575,6.25977011494,26.0712643678,0.583412814611,29.8440229885,12.9011494253,30.2881609195,117.1,99.6333333333
30,Average MVP,37.7917222222,9.43777777778,18.97,0.498671991491,0.943333333333,2.67222222222,0.276915332786,0.524431736237,6.26222222222,7.91333333333,0.801305407474,8.31666666667,6.27444444444,26.0811111111,0.583223541424,29.8972222222,12.8818888889,30.281,117.115555556,99.6388888889
31,Average MVP,37.7800519713,9.47422939068,18.9845519713,0.500153969939,0.953405017921,2.68759856631,0.274133395182,0.526186543171,6.30731182796,7.96928315412,0.80162847752,8.30935483871,6.27681003584,26.2091756272,0.585068425482,29.8754480287,12.8443763441,30.342483871,117.460824373,99.6732258065
32,Average MVP,37.7510729167,9.47194444444,18.9638194444,0.500383285102,0.954513888889,2.67076388889,0.283653007172,0.526565802464,6.29020833333,7.93840277778,0.803205732959,8.299375,6.29361111111,26.1886111111,0.585462997781,29.9201388889,12.8412916667,30.3004375,117.629305556,99.6897916667
33,Average MVP,37.7757391115,9.48641251222,18.9751384816,0.500849979231,0.957673509286,2.67129358097,0.281708745594,0.527166748556,6.28406647116,7.92469859889,0.803180613413,8.27282502444,6.29869664386,26.2145650049,0.585976708484,29.962111437,12.9193646139,30.3385760834,117.551906158,99.7638970349
34,Average MVP,37.7695496324,9.50949754902,19.0083333333,0.501045517126,0.959926470588,2.67212009804,0.281224113255,0.527414726122,6.27052696078,7.89129901961,0.804983426602,8.27150735294,6.3025122549,26.2494485294,0.586152298767,29.9646323529,12.8845343137,30.369497549,117.631372549,99.8123161765
35,Average MVP,37.7795983646,9.53186147186,19.0201154401,0.502020914085,0.965800865801,2.69278499278,0.27884780547,0.528548640269,6.30063492063,7.92173160173,0.805442756396,8.2273015873,6.28909090909,26.3301587302,0.587415459118,29.9409004329,12.845988456,30.4093189033,117.831746032,99.8353535354
36,Average MVP,37.83416939,9.55032679739,19.0769063181,0.501533509291,0.976906318083,2.72450980392,0.279130105993,0.528355333742,6.30343137255,7.91835511983,0.805620264436,8.21623093682,6.28583877996,26.3809912854,0.587256126626,29.9267647059,12.7829030501,30.4471405229,117.889705882,99.9569716776
37,Average MVP,37.8277438867,9.5598970399,19.1064607465,0.501324209406,0.984015444015,2.73485199485,0.279735316948,0.528271466372,6.3267953668,7.94494208494,0.805841682576,8.19240669241,6.28015444015,26.4306048906,0.587295779187,29.9803243243,12.7711377091,30.5058635779,117.924401544,100.097528958
38,Average MVP,37.8784852177,9.59434697856,19.1610623782,0.501673936609,0.993177387914,2.75326510721,0.276357407069,0.528712005118,6.30940545809,7.9253411306,0.805771786546,8.19507797271,6.2929337232,26.4912768031,0.587372377996,30.0130555556,12.7466520468,30.5133723197,117.990497076,100.084795322
39,Average MVP,37.9186551937,9.58865788866,19.1512127512,0.501645572388,1.00020790021,2.76223146223,0.279435610083,0.528958635208,6.31693231693,7.94268884269,0.8053044168,8.1951951952,6.30348810349,26.4944559945,0.587648022989,30.0065881266,12.7633818434,30.5031208131,118.00979441,100.131854932
