,Game,FG_G,FGA_G,FG_PCT,RBD_G,AST_G,PTS_G
39,40,8.55,18.75,0.456,6.975,9.5,24.75
40,41,8.48780487805,18.5365853659,0.457894736842,7.07317073171,9.51219512195,24.4390243902
41,42,8.40476190476,18.4761904762,0.454896907216,7.14285714286,9.64285714286,24.1666666667
42,43,8.44186046512,18.5581395349,0.454887218045,7.09302325581,9.6976744186,24.2325581395
43,44,8.36363636364,18.4545454545,0.453201970443,7.11363636364,9.81818181818,24.0454545455
44,45,8.35555555556,18.4666666667,0.452466907341,7.13333333333,9.75555555556,23.8666666667
45,46,8.4347826087,18.652173913,0.452214452214,7.21739130435,9.69565217391,23.9347826087
46,47,8.53191489362,18.7659574468,0.454648526077,7.23404255319,9.70212765957,24.0638297872
47,48,8.5,18.6458333333,0.455865921788,7.25,9.8125,24.0625
48,49,8.51020408163,18.693877551,0.455240174672,7.30612244898,9.89795918367,24.1020408163
49,50,8.5,18.58,0.45748116254,7.42,9.92,23.96
50,51,8.52941176471,18.568627451,0.45934530095,7.64705882353,10.0,23.9607843137
51,52,8.51923076923,18.6346153846,0.457172342621,7.55769230769,10.0384615385,24.0192307692
52,53,8.50943396226,18.641509434,0.456477732794,7.56603773585,10.0,24.1132075472
53,54,8.5,18.5555555556,0.458083832335,7.59259259259,10.0,24.0925925926
54,55,8.52727272727,18.5272727273,0.46025515211,7.50909090909,10.1454545455,24.0727272727
55,56,8.5,18.4642857143,0.460348162476,7.53571428571,10.1607142857,24.0
56,57,8.49122807018,18.4385964912,0.460513796384,7.52631578947,10.2105263158,24.0
57,58,8.60344827586,18.5517241379,0.46375464684,7.46551724138,10.1896551724,24.3448275862
58,59,8.62711864407,18.7288135593,0.460633484163,7.45762711864,10.2372881356,24.3728813559
59,60,8.58333333333,18.55,0.462713387242,7.55,10.3166666667,24.3
60,61,8.5737704918,18.5901639344,0.461199294533,7.52459016393,10.3442622951,24.2950819672
61,62,8.56451612903,18.6774193548,0.458549222798,7.5,10.2903225806,24.2580645161
62,63,8.47619047619,18.4920634921,0.458369098712,7.53968253968,10.3015873016,24.1111111111
63,64,8.484375,18.4375,0.460169491525,7.59375,10.4375,24.125
64,65,8.47692307692,18.4461538462,0.459549624687,7.53846153846,10.4,24.1538461538
65,66,8.42424242424,18.4090909091,0.457613168724,7.51515151515,10.3484848485,24.0757575758
66,67,8.40298507463,18.2985074627,0.459216965742,7.55223880597,10.4328358209,23.9701492537
67,68,8.39705882353,18.2647058824,0.459742351047,7.51470588235,10.3529411765,23.9705882353
68,69,8.39130434783,18.2898550725,0.458795562599,7.6231884058,10.347826087,23.9130434783
69,70,8.32857142857,18.2714285714,0.455824863174,7.67142857143,10.4,23.7714285714
70,71,8.30985915493,18.2676056338,0.454895913647,7.7323943662,10.4647887324,23.7323943662
71,72,8.27777777778,18.2222222222,0.454268292683,7.72222222222,10.4444444444,23.6111111111
72,73,8.30136986301,18.2191780822,0.455639097744,7.69863013699,10.4109589041,23.6849315068
73,74,8.32432432432,18.1891891892,0.45765230312,7.72972972973,10.4324324324,23.7162162162
74,75,8.32,18.32,0.454148471616,7.68,10.3733333333,23.72
