,Game,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
19,20,39.3791666667,8.4,21.0,0.4,2.5,8.75,0.285714285714,0.459523809524,9.95,11.45,0.868995633188,6.75,6.7,29.25,0.561679084415,33.525,14.98,33.3,108.9,108.0
20,21,39.2047619048,8.28571428571,20.6666666667,0.400921658986,2.61904761905,8.61904761905,0.303867403315,0.464285714286,10.1428571429,11.6666666667,0.869387755102,6.52380952381,6.80952380952,29.3333333333,0.568475452196,33.9904761905,15.180952381,33.1761904762,110.095238095,108.571428571
21,22,39.0295454545,8.0,20.1363636364,0.397291196388,2.54545454545,8.45454545455,0.301075268817,0.460496613995,9.90909090909,11.4090909091,0.868525896414,6.36363636364,6.90909090909,28.4545454545,0.565553628216,33.9772727273,16.2,32.6909090909,108.772727273,108.681818182
22,23,39.0731884058,8.21739130435,20.2608695652,0.405579399142,2.65217391304,8.47826086957,0.312820512821,0.471030042918,9.95652173913,11.4347826087,0.87072243346,6.47826086957,6.91304347826,29.0434782609,0.574159389397,33.9956521739,16.3565217391,32.8956521739,109.434782609,108.086956522
23,24,38.7638888889,8.33333333333,20.2916666667,0.41067761807,2.66666666667,8.33333333333,0.32,0.476386036961,9.75,11.1666666667,0.873134328358,6.33333333333,6.75,29.0833333333,0.576935793163,33.2041666667,16.0041666667,32.8708333333,110.25,107.583333333
24,25,38.5886666667,8.36,20.28,0.412228796844,2.76,8.32,0.331730769231,0.480276134122,9.4,10.84,0.867158671587,6.2,6.72,28.88,0.57645631068,33.056,15.708,32.824,110.24,108.08
25,26,38.5064102564,8.42307692308,20.1923076923,0.417142857143,2.80769230769,8.30769230769,0.337962962963,0.486666666667,9.38461538462,10.8846153846,0.862190812721,6.23076923077,6.69230769231,29.0384615385,0.581198423451,33.2423076923,15.9923076923,32.9192307692,110.269230769,108.0
26,27,38.4185185185,8.37037037037,20.3333333333,0.411657559199,2.77777777778,8.33333333333,0.333333333333,0.479963570128,9.37037037037,10.8518518519,0.863481228669,6.22222222222,6.66666666667,28.8888888889,0.57528911966,33.2074074074,15.7555555556,32.9925925926,110.148148148,107.592592593
27,28,38.2505952381,8.21428571429,20.0714285714,0.409252669039,2.67857142857,8.17857142857,0.327510917031,0.475978647687,9.39285714286,10.8214285714,0.86798679868,6.17857142857,6.82142857143,28.5,0.573836506932,33.9964285714,15.9892857143,32.825,110.0,107.357142857
28,29,38.1373563218,8.24137931034,19.9310344828,0.413494809689,2.65517241379,8.13793103448,0.326271186441,0.480103806228,9.62068965517,11.1034482759,0.866459627329,6.13793103448,6.8275862069,28.7586206897,0.579424188528,34.4275862069,15.924137931,32.9344827586,111.034482759,107.172413793
29,30,38.2077777778,8.36666666667,19.8666666667,0.421140939597,2.63333333333,8.0,0.329166666667,0.487416107383,9.46666666667,10.9333333333,0.865853658537,6.03333333333,6.83333333333,28.8333333333,0.584206829479,34.3233333333,15.8166666667,32.7633333333,111.966666667,107.533333333
30,31,38.2010752688,8.32258064516,19.9032258065,0.418152350081,2.61290322581,7.93548387097,0.329268292683,0.483792544571,9.29032258065,10.7419354839,0.864864864865,5.96774193548,6.90322580645,28.5483870968,0.579552598491,34.8,15.7806451613,32.7870967742,111.193548387,107.193548387
31,32,38.0666666667,8.3125,19.9375,0.416927899687,2.6875,8.03125,0.334630350195,0.484326018809,9.125,10.53125,0.86646884273,5.96875,6.84375,28.4375,0.578674263621,34.540625,15.540625,32.828125,111.3125,107.65625
32,33,38.0873737374,8.24242424242,19.8181818182,0.415902140673,2.69696969697,7.9696969697,0.338403041825,0.483944954128,9.18181818182,10.5757575758,0.868194842407,6.09090909091,6.87878787879,28.3636363636,0.579523502898,34.4454545455,15.8212121212,32.8151515152,111.181818182,107.909090909
33,34,37.9789215686,8.23529411765,19.7941176471,0.416047548291,2.76470588235,8.02941176471,0.344322344322,0.48588410104,9.17647058824,10.5294117647,0.871508379888,6.05882352941,6.82352941176,28.4117647059,0.581563357896,34.2588235294,15.6970588235,32.8588235294,111.470588235,108.0
34,35,37.7633333333,8.17142857143,19.5142857143,0.418740849195,2.74285714286,7.94285714286,0.345323741007,0.489019033675,9.0,10.3142857143,0.872576177285,5.94285714286,6.71428571429,28.0857142857,0.58384015965,33.7714285714,16.1228571429,32.6314285714,111.228571429,108.657142857
35,36,37.8865740741,8.19444444444,19.6666666667,0.416666666667,2.77777777778,8.05555555556,0.344827586207,0.487288135593,8.97222222222,10.2777777778,0.872972972973,5.91666666667,6.72222222222,28.1388888889,0.581649058337,33.8055555556,16.275,32.9777777778,110.777777778,108.805555556
36,37,37.7846846847,8.32432432432,19.8108108108,0.420190995907,2.7027027027,8.02702702703,0.3367003367,0.488403819918,8.91891891892,10.2702702703,0.868421052632,5.97297297297,6.62162162162,28.2702702703,0.580982003999,33.4432432432,16.1594594595,33.327027027,110.810810811,108.540540541
37,38,37.9105263158,8.31578947368,19.8157894737,0.419654714475,2.68421052632,8.05263157895,0.333333333333,0.487383798141,8.76315789474,10.1052631579,0.8671875,6.05263157895,6.68421052632,28.0789473684,0.578658510131,33.5789473684,16.2263157895,33.1736842105,110.394736842,108.263157895
38,39,37.7914529915,8.25641025641,19.641025641,0.420365535248,2.71794871795,8.07692307692,0.336507936508,0.48955613577,8.76923076923,10.1025641026,0.868020304569,6.02564102564,6.64102564103,28.0,0.581246806336,33.4769230769,16.4666666667,33.1641025641,110.820512821,108.384615385
39,40,37.71125,8.25,19.7,0.418781725888,2.7,8.125,0.332307692308,0.48730964467,8.775,10.125,0.866666666667,5.95,6.75,27.975,0.579072655765,34.115,16.5125,33.3925,110.575,108.45
40,41,37.7239837398,8.09756097561,19.4634146341,0.416040100251,2.63414634146,8.0487804878,0.327272727273,0.483709273183,8.73170731707,10.0487804878,0.868932038835,5.92682926829,6.70731707317,27.5609756098,0.576954497182,33.9341463415,17.0365853659,33.1951219512,109.43902439,108.146341463
