,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
30,31,Tim Duncan 2015,32.1262820513,6.11538461538,12.7307692308,0.480362537764,0.0,0.0384615384615,0.0,0.480362537764,3.88461538462,5.42307692308,0.716312056738,10.8461538462,3.15384615385,16.1153846154,0.533024628537,17.0961538462,12.9153846154,24.9153846154,110.730769231,97.4615384615
31,32,Tim Duncan 2015,32.1018518519,6.11111111111,12.7037037037,0.481049562682,0.0,0.037037037037,0.0,0.481049562682,3.88888888889,5.40740740741,0.719178082192,10.7407407407,3.14814814815,16.1111111111,0.534083095963,17.0296296296,12.8925925926,24.8074074074,110.888888889,97.4444444444
32,33,Tim Duncan 2015,31.975,6.03571428571,12.5,0.482857142857,0.0,0.0357142857143,0.0,0.482857142857,3.78571428571,5.28571428571,0.716216216216,10.7142857143,3.10714285714,15.8571428571,0.534785122374,16.8464285714,12.8357142857,24.4464285714,110.928571429,97.5357142857
33,34,Tim Duncan 2015,32.1034482759,6.03448275862,12.4827586207,0.483425414365,0.0,0.0344827586207,0.0,0.483425414365,3.79310344828,5.31034482759,0.714285714286,10.6896551724,3.1724137931,15.8620689655,0.535182427401,17.1172413793,12.8068965517,24.3724137931,110.724137931,97.2068965517
34,35,Tim Duncan 2015,32.08,5.9,12.3333333333,0.478378378378,0.0,0.0333333333333,0.0,0.478378378378,3.66666666667,5.2,0.705128205128,10.6333333333,3.2,15.4666666667,0.528907532373,17.0566666667,12.9933333333,24.1366666667,109.533333333,97.4333333333
35,36,Tim Duncan 2015,31.7467741935,5.93548387097,12.3225806452,0.48167539267,0.0,0.0645161290323,0.0,0.48167539267,3.58064516129,5.09677419355,0.70253164557,10.5161290323,3.12903225806,15.4516129032,0.530430545712,16.8516129032,13.0064516129,24.3129032258,109.387096774,97.7096774194
36,37,Tim Duncan 2015,31.5109375,5.9375,12.34375,0.481012658228,0.0,0.0625,0.0,0.481012658228,3.46875,4.9375,0.70253164557,10.40625,3.1875,15.34375,0.528502540257,17.5125,12.6,24.271875,109.40625,97.59375
37,38,Tim Duncan 2015,31.1919191919,5.90909090909,12.1515151515,0.486284289277,0.0,0.0606060606061,0.0,0.486284289277,3.45454545455,4.90909090909,0.703703703704,10.2727272727,3.15151515152,15.2727272727,0.533581773524,17.4515151515,12.8393939394,24.1878787879,110.121212121,97.5454545455
38,39,Tim Duncan 2015,31.0343137255,5.88235294118,12.2058823529,0.481927710843,0.0,0.0588235294118,0.0,0.481927710843,3.38235294118,4.82352941176,0.701219512195,10.3235294118,3.14705882353,15.1470588235,0.52857377453,17.5088235294,12.6470588235,24.2764705882,109.382352941,97.5588235294
39,40,Tim Duncan 2015,31.0266666667,5.88571428571,12.2285714286,0.481308411215,0.0,0.0571428571429,0.0,0.481308411215,3.34285714286,4.74285714286,0.704819277108,10.3142857143,3.14285714286,15.1142857143,0.527901963915,17.4914285714,12.6457142857,24.2514285714,109.057142857,97.2857142857
40,41,Tim Duncan 2015,31.0009259259,5.83333333333,12.0833333333,0.48275862069,0.0,0.0555555555556,0.0,0.48275862069,3.33333333333,4.69444444444,0.710059171598,10.3611111111,3.22222222222,15.0,0.530076959322,17.7527777778,12.5916666667,23.9416666667,110.138888889,97.2777777778
41,42,Tim Duncan 2015,30.8099099099,5.75675675676,11.972972973,0.480812641084,0.0,0.0540540540541,0.0,0.480812641084,3.37837837838,4.72972972973,0.714285714286,10.2432432432,3.24324324324,14.8918918919,0.529807692308,18.1405405405,12.6783783784,23.9783783784,110.135135135,96.9189189189
42,43,Tim Duncan 2015,30.7583333333,5.76315789474,11.9210526316,0.483443708609,0.0,0.0526315789474,0.0,0.483443708609,3.39473684211,4.71052631579,0.720670391061,10.1052631579,3.21052631579,14.9210526316,0.533135248985,17.9763157895,12.8789473684,23.9236842105,110.368421053,97.0789473684
43,44,Tim Duncan 2015,30.5679487179,5.66666666667,11.7948717949,0.480434782609,0.0,0.0512820512821,0.0,0.480434782609,3.35897435897,4.64102564103,0.723756906077,10.0256410256,3.17948717949,14.6923076923,0.530909495219,17.9230769231,13.0666666667,23.8256410256,109.641025641,97.6153846154
44,45,Tim Duncan 2015,30.31125,5.65,11.725,0.481876332623,0.0,0.05,0.0,0.481876332623,3.375,4.65,0.725806451613,9.95,3.175,14.675,0.532822598214,18.2075,12.74,23.855,110.475,97.35
45,46,Tim Duncan 2015,30.3296747967,5.73170731707,11.756097561,0.48755186722,0.0,0.0487804878049,0.0,0.48755186722,3.34146341463,4.58536585366,0.728723404255,9.9756097561,3.14634146341,14.8048780488,0.537434480805,18.1195121951,13.0756097561,23.912195122,110.414634146,97.3414634146
46,47,Tim Duncan 2015,30.2964285714,5.71428571429,11.7619047619,0.485829959514,0.0,0.047619047619,0.0,0.485829959514,3.30952380952,4.57142857143,0.723958333333,10.0714285714,3.11904761905,14.7380952381,0.535022818421,17.9833333333,13.3,24.0119047619,109.547619048,96.8333333333
47,48,Tim Duncan 2015,30.2042635659,5.62790697674,11.6046511628,0.48496993988,0.0,0.046511627907,0.0,0.48496993988,3.23255813953,4.46511627907,0.723958333333,10.023255814,3.06976744186,14.488372093,0.533865770892,17.7395348837,13.3790697674,23.6976744186,108.790697674,97.023255814
48,49,Tim Duncan 2015,30.2803030303,5.75,11.7272727273,0.490310077519,0.0,0.0454545454545,0.0,0.490310077519,3.25,4.54545454545,0.715,10.0227272727,3.02272727273,14.75,0.537251655629,17.4522727273,13.1795454545,23.85,109.0,97.2045454545
49,50,Tim Duncan 2015,30.1696296296,5.73333333333,11.6444444444,0.492366412214,0.0,0.0444444444444,0.0,0.492366412214,3.17777777778,4.44444444444,0.715,10.0666666667,2.95555555556,14.6444444444,0.53839869281,17.0644444444,13.6266666667,23.8111111111,108.488888889,97.1111111111
50,51,Tim Duncan 2015,30.2047101449,5.67391304348,11.6956521739,0.485130111524,0.0,0.0434782608696,0.0,0.485130111524,3.23913043478,4.47826086957,0.723300970874,10.1086956522,3.0,14.5869565217,0.533691779079,17.3130434783,13.5630434783,23.8304347826,108.130434783,96.9347826087
51,52,Tim Duncan 2015,30.2085106383,5.70212765957,11.7234042553,0.486388384755,0.0,0.0425531914894,0.0,0.486388384755,3.1914893617,4.40425531915,0.724637681159,10.0638297872,2.97872340426,14.5957446809,0.534201345627,17.2042553191,13.4212765957,23.7914893617,108.276595745,96.8510638298
52,53,Tim Duncan 2015,29.95,5.66666666667,11.625,0.487455197133,0.0,0.0416666666667,0.0,0.487455197133,3.125,4.3125,0.724637681159,9.91666666667,2.9375,14.4583333333,0.534602822456,17.025,13.1416666667,23.6791666667,108.770833333,97.0416666667
53,54,Tim Duncan 2015,30.0156462585,5.79591836735,11.6734693878,0.496503496503,0.0204081632653,0.0612244897959,0.333333333333,0.497377622378,3.16326530612,4.32653061224,0.731132075472,9.9387755102,2.9387755102,14.7755102041,0.544131794132,17.0224489796,12.8734693878,23.6306122449,110.326530612,97.3265306122
