,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
21,22,James Harden 2017,36.746969697,8.36363636364,18.5454545455,0.450980392157,2.95454545455,8.18181818182,0.361111111111,0.530637254902,8.86363636364,10.5,0.844155844156,7.59090909091,11.4545454545,28.5454545455,0.616121183581,51.8090909091,19.2818181818,34.1318181818,120.727272727,108.681818182
22,23,James Harden 2017,36.7471014493,8.26086956522,18.7391304348,0.440835266821,2.91304347826,8.30434782609,0.350785340314,0.518561484919,8.78260869565,10.3913043478,0.845188284519,7.65217391304,11.4782608696,28.2173913043,0.605229782155,51.9782608696,19.452173913,34.2782608696,119.086956522,108.086956522
23,24,James Harden 2017,36.8791666667,8.08333333333,18.4583333333,0.437923250564,2.875,8.29166666667,0.346733668342,0.515801354402,8.75,10.375,0.843373493976,7.70833333333,11.7083333333,27.7916666667,0.603554365137,52.4583333333,19.4583333333,33.8875,119.666666667,107.541666667
24,25,James Harden 2017,36.944,8.24,18.8,0.43829787234,2.92,8.4,0.347619047619,0.515957446809,8.72,10.44,0.835249042146,7.72,11.68,28.12,0.601019082142,52.388,19.12,34.028,119.68,107.68
25,26,James Harden 2017,36.6717948718,8.07692307692,18.3461538462,0.440251572327,2.92307692308,8.30769230769,0.351851851852,0.519916142558,8.53846153846,10.1923076923,0.837735849057,7.84615384615,11.7692307692,27.6153846154,0.604784366577,52.3576923077,19.7807692308,33.5076923077,120.538461538,107.153846154
26,27,James Harden 2017,36.5666666667,8.03703703704,18.2222222222,0.441056910569,3.03703703704,8.44444444444,0.359649122807,0.524390243902,8.55555555556,10.2222222222,0.836956521739,7.96296296296,11.8148148148,27.6666666667,0.608861502347,52.5481481481,19.6703703704,33.3444444444,121.555555556,106.888888889
27,28,James Harden 2017,36.7928571429,8.03571428571,18.2857142857,0.439453125,3.03571428571,8.53571428571,0.355648535565,0.5224609375,8.57142857143,10.25,0.836236933798,8.0,11.8571428571,27.6785714286,0.607100332143,52.6428571429,19.7535714286,33.3178571429,121.0,106.607142857
28,29,James Harden 2017,36.7931034483,8.10344827586,18.5517241379,0.436802973978,2.96551724138,8.62068965517,0.344,0.516728624535,8.62068965517,10.2413793103,0.841750841751,8.06896551724,11.6896551724,27.7931034483,0.602679906682,52.2620689655,19.3827586207,33.4206896552,120.793103448,106.620689655
29,30,James Harden 2017,36.7255555556,8.1,18.5333333333,0.437050359712,3.03333333333,8.7,0.348659003831,0.518884892086,8.53333333333,10.1666666667,0.839344262295,7.96666666667,11.7666666667,27.7666666667,0.603448275862,52.3633333333,19.02,33.3033333333,121.533333333,107.033333333
30,31,James Harden 2017,36.7080645161,8.03225806452,18.3548387097,0.437609841828,3.0,8.61290322581,0.348314606742,0.519332161687,8.32258064516,9.93548387097,0.837662337662,7.93548387097,11.935483871,27.3870967742,0.602537898143,53.0967741935,19.6516129032,33.1483870968,120.935483871,107.548387097
31,32,James Harden 2017,36.5015625,8.0625,18.34375,0.439522998296,2.96875,8.625,0.344202898551,0.520442930153,8.4375,10.09375,0.835913312693,7.84375,11.9375,27.53125,0.604152951503,53.328125,19.73125,33.36875,120.875,107.59375
32,33,James Harden 2017,36.303030303,8.09090909091,18.2727272727,0.442786069652,3.0,8.57575757576,0.349823321555,0.524875621891,8.54545454545,10.1515151515,0.841791044776,7.75757575758,11.9090909091,27.7272727273,0.609674840085,53.7212121212,19.8848484848,33.6484848485,121.454545455,107.96969697
33,34,James Harden 2017,36.225,8.14705882353,18.1764705882,0.448220064725,2.97058823529,8.47058823529,0.350694444444,0.529935275081,8.52941176471,10.1176470588,0.843023255814,7.91176470588,11.8529411765,27.7941176471,0.614146823334,53.5058823529,20.0058823529,33.5852941176,121.823529412,107.558823529
34,35,James Harden 2017,36.3923809524,8.31428571429,18.4,0.451863354037,3.14285714286,8.68571428571,0.361842105263,0.537267080745,8.74285714286,10.3428571429,0.845303867403,8.14285714286,12.0,28.5142857143,0.621203067424,54.1057142857,19.98,33.7857142857,122.4,107.742857143
35,36,James Harden 2017,36.55,8.25,18.5555555556,0.444610778443,3.11111111111,8.75,0.355555555556,0.528443113772,8.75,10.3333333333,0.846774193548,8.19444444444,11.9444444444,28.3611111111,0.613817814544,53.6527777778,19.9083333333,33.8555555556,121.361111111,107.222222222
36,37,James Harden 2017,36.5914414414,8.18918918919,18.4864864865,0.44298245614,3.08108108108,8.7027027027,0.354037267081,0.526315789474,8.83783783784,10.4324324324,0.847150259067,8.18918918919,11.9459459459,28.2972972973,0.613112526937,53.4243243243,19.9459459459,33.827027027,121.162162162,107.540540541
37,38,James Harden 2017,36.5271929825,8.10526315789,18.3947368421,0.440629470672,3.0,8.68421052632,0.345454545455,0.52217453505,8.71052631579,10.3157894737,0.844387755102,8.13157894737,11.8947368421,27.9210526316,0.608734566485,53.1763157895,20.0894736842,33.7605263158,120.263157895,107.447368421
38,39,James Harden 2017,36.5611111111,8.23076923077,18.5897435897,0.44275862069,3.02564102564,8.69230769231,0.34808259587,0.524137931034,8.74358974359,10.3076923077,0.848258706468,8.17948717949,11.8717948718,28.2307692308,0.61039162638,53.0256410256,20.2102564103,34.0128205128,120.051282051,107.58974359
39,40,James Harden 2017,36.5916666667,8.3,18.725,0.443257676903,3.125,8.825,0.354107648725,0.526702269693,8.8,10.4,0.846153846154,8.35,11.825,28.525,0.612098193211,52.92,19.9975,34.18,120.25,107.825
40,41,James Harden 2017,36.6414634146,8.34146341463,18.8292682927,0.443005181347,3.09756097561,8.87804878049,0.348901098901,0.525259067358,8.85365853659,10.4634146341,0.846153846154,8.29268292683,11.8292682927,28.6341463415,0.610974645073,53.1707317073,19.9317073171,34.287804878,120.0,108.048780488
41,42,James Harden 2017,36.6432539683,8.28571428571,18.7142857143,0.442748091603,3.07142857143,8.83333333333,0.347708894879,0.524809160305,8.95238095238,10.5476190476,0.848758465011,8.16666666667,11.7619047619,28.5952380952,0.612180402072,53.019047619,20.0714285714,34.2404761905,119.80952381,108.19047619
42,43,James Harden 2017,36.5240310078,8.23255813953,18.6511627907,0.441396508728,3.09302325581,8.83720930233,0.35,0.524314214464,8.88372093023,10.4651162791,0.848888888889,8.25581395349,11.7441860465,28.4418604651,0.6115,52.8418604651,20.2279069767,34.2209302326,119.627906977,108.11627907
43,44,James Harden 2017,36.5878787879,8.31818181818,18.9090909091,0.439903846154,3.11363636364,8.97727272727,0.346835443038,0.522235576923,8.95454545455,10.5227272727,0.850971922246,8.34090909091,11.7045454545,28.7045454545,0.609720773954,52.9386363636,20.0954545455,34.4136363636,119.363636364,107.931818182
44,45,James Harden 2017,36.5903703704,8.44444444444,19.0444444444,0.443407234539,3.13333333333,9.02222222222,0.347290640394,0.525670945158,8.88888888889,10.4222222222,0.852878464819,8.28888888889,11.6222222222,28.9111111111,0.611740144448,52.7044444444,19.7977777778,34.42,119.822222222,107.711111111
45,46,James Harden 2017,36.5543478261,8.39130434783,18.9130434783,0.44367816092,3.0652173913,8.9347826087,0.343065693431,0.524712643678,8.80434782609,10.3043478261,0.854430379747,8.23913043478,11.6086956522,28.652173913,0.610999851654,52.5043478261,20.052173913,34.2347826087,119.282608696,108.065217391
46,47,James Harden 2017,36.4975177305,8.36170212766,18.7021276596,0.447098976109,3.08510638298,8.87234042553,0.347721822542,0.529579067122,8.85106382979,10.3404255319,0.855967078189,8.1914893617,11.5744680851,28.6595744681,0.616284177007,52.3574468085,20.2553191489,34.1,119.978723404,107.765957447
47,48,James Harden 2017,36.5611111111,8.3125,18.5208333333,0.448818897638,3.0625,8.77083333333,0.349168646081,0.531496062992,8.91666666667,10.4166666667,0.856,8.1875,11.5833333333,28.6041666667,0.619026149684,52.2229166667,20.6770833333,34.0125,119.791666667,108.0
48,49,James Harden 2017,36.5704081633,8.26530612245,18.5102040816,0.446527012128,3.04081632653,8.81632653061,0.344907407407,0.528665931643,9.0612244898,10.5918367347,0.85549132948,8.14285714286,11.5918367347,28.6326530612,0.617865698985,52.2816326531,20.6836734694,34.1163265306,119.510204082,108.204081633
49,50,James Harden 2017,36.622,8.42,18.7,0.450267379679,3.1,8.86,0.349887133183,0.533155080214,9.14,10.66,0.857410881801,8.24,11.62,29.08,0.621622546002,52.66,20.526,34.26,119.96,108.16
50,51,James Harden 2017,36.5277777778,8.3137254902,18.6666666667,0.445378151261,3.07843137255,8.88235294118,0.346578366446,0.527836134454,9.09803921569,10.5882352941,0.859259259259,8.17647058824,11.5490196078,28.8039215686,0.617434431742,52.4294117647,20.6823529412,34.3509803922,119.039215686,108.352941176
51,52,James Harden 2017,36.4355769231,8.21153846154,18.4807692308,0.444328824142,3.01923076923,8.80769230769,0.342794759825,0.526014568158,9.0,10.4615384615,0.860294117647,8.15384615385,11.4807692308,28.4423076923,0.616065180446,52.1173076923,20.8942307692,34.1115384615,118.442307692,107.903846154
52,53,James Harden 2017,36.4761006289,8.24528301887,18.5660377358,0.444105691057,3.05660377358,8.8679245283,0.344680851064,0.526422764228,9.1320754717,10.6603773585,0.856637168142,8.15094339623,11.4150943396,28.679245283,0.616582833036,51.9660377358,20.7075471698,34.1981132075,118.528301887,107.79245283
53,54,James Harden 2017,36.6098765432,8.33333333333,18.8333333333,0.442477876106,3.09259259259,8.94444444444,0.345755693582,0.524582104228,9.16666666667,10.7222222222,0.854922279793,8.22222222222,11.3703703704,28.9259259259,0.614109580424,51.7203703704,20.4148148148,34.3351851852,118.481481481,107.740740741
54,55,James Harden 2017,36.5987878788,8.29090909091,18.8727272727,0.439306358382,3.09090909091,8.96363636364,0.344827586207,0.52119460501,9.18181818182,10.7818181818,0.851602023609,8.18181818182,11.4,28.8545454545,0.610892125766,51.6545454545,20.2763636364,34.3690909091,118.272727273,107.581818182
55,56,James Harden 2017,36.649702381,8.28571428571,18.9107142857,0.438149197356,3.10714285714,8.96428571429,0.346613545817,0.52030217186,9.19642857143,10.8035714286,0.851239669421,8.23214285714,11.3392857143,28.875,0.610096589194,51.3267857143,20.3696428571,34.4357142857,117.875,107.339285714
56,57,James Harden 2017,36.5192982456,8.29824561404,18.8771929825,0.439591078067,3.19298245614,9.0701754386,0.352030947776,0.524163568773,9.28070175439,10.8947368421,0.851851851852,8.19298245614,11.2807017544,29.0701754386,0.614049390768,51.2736842105,20.450877193,34.5807017544,118.157894737,107.192982456
57,58,James Harden 2017,36.608908046,8.3275862069,18.9137931034,0.440291704649,3.20689655172,9.08620689655,0.352941176471,0.525068368277,9.36206896552,10.9827586207,0.852433281005,8.25862068966,11.2931034483,29.224137931,0.615343285316,51.3620689655,20.3137931034,34.5689655172,118.534482759,107.534482759
58,59,James Harden 2017,36.4915254237,8.23728813559,18.7457627119,0.439421338156,3.16949152542,9.03389830508,0.350844277674,0.523960216998,9.30508474576,10.8983050847,0.853810264386,8.18644067797,11.3389830508,28.9491525424,0.614866226997,51.4474576271,20.4033898305,34.3474576271,118.661016949,107.271186441
59,60,James Harden 2017,36.4688888889,8.2,18.6833333333,0.438893844781,3.2,9.06666666667,0.352941176471,0.524531668153,9.26666666667,10.8833333333,0.85145482389,8.13333333333,11.3166666667,28.8666666667,0.614917064304,51.2266666667,20.505,34.2533333333,118.466666667,107.5
60,61,James Harden 2017,36.5112021858,8.14754098361,18.6557377049,0.436731107206,3.16393442623,9.06557377049,0.349005424955,0.521528998243,9.34426229508,10.9836065574,0.850746268657,8.11475409836,11.3278688525,28.8032786885,0.613135120045,51.3229508197,20.293442623,34.1491803279,118.459016393,107.639344262
61,62,James Harden 2017,36.4956989247,8.12903225806,18.5967741935,0.437120555074,3.17741935484,9.06451612903,0.350533807829,0.522549869905,9.32258064516,10.935483871,0.852507374631,8.03225806452,11.2903225806,28.7580645161,0.614268390155,51.2064516129,20.4080645161,34.0709677419,118.548387097,107.661290323
62,63,James Harden 2017,36.4931216931,8.14285714286,18.5396825397,0.439212328767,3.22222222222,9.07936507937,0.354895104895,0.526113013699,9.31746031746,10.9682539683,0.849493487699,8.01587301587,11.2857142857,28.8253968254,0.616831064373,51.2444444444,20.3920634921,34.0301587302,118.936507937,107.682539683
63,64,James Harden 2017,36.4854166667,8.21875,18.5625,0.442760942761,3.265625,9.078125,0.359724612737,0.530723905724,9.28125,10.921875,0.849785407725,7.9375,11.296875,28.984375,0.620169033673,51.5,20.43125,34.090625,119.234375,107.890625
64,65,James Harden 2017,36.4943589744,8.24615384615,18.6153846154,0.442975206612,3.21538461538,9.06153846154,0.354838709677,0.529338842975,9.36923076923,11.0,0.851748251748,7.87692307692,11.2153846154,29.0769230769,0.619834710744,51.2492307692,20.38,34.2338461538,119.076923077,108.138461538
